1	279200	chr1	72633093	72633303	chr1:72633093-72633303|CH12LX|EM10E0440976	chr1	72353824	72354173	chr1:72353824-unknown|72354173|CH12LX|EM10E0440910|.
1	278757	chr1	72632613	72632897	chr1:72632613-72632897|CH12LX|EM10E0440975	chr1	72353824	72354173	chr1:72353824-unknown|72354173|CH12LX|EM10E0440910|.
1	108284	chr1	158977919	158978124	chr1:158977919-158978124|CH12LX|EM10E0456143	chr1	158869564	158869911	chr1:158869564-unknown|158869911|CH12LX|EM10E0456060|.
1	108981	chr1	158977919	158978124	chr1:158977919-158978124|CH12LX|EM10E0456143	chr1	158868866	158869214	chr1:158868866-unknown|158869214|CH12LX|EM10E0456058|.
1	109068	chr1	158978633	158978977	chr1:158978633-158978977|CH12LX|EM10E0456146	chr1	158869564	158869911	chr1:158869564-unknown|158869911|CH12LX|EM10E0456060|.
1	109765	chr1	158978633	158978977	chr1:158978633-158978977|CH12LX|EM10E0456146	chr1	158868866	158869214	chr1:158868866-unknown|158869214|CH12LX|EM10E0456058|.
1	108542	chr1	158978189	158978369	chr1:158978189-158978369|CH12LX|EM10E0456144	chr1	158869564	158869911	chr1:158869564-unknown|158869911|CH12LX|EM10E0456060|.
1	109239	chr1	158978189	158978369	chr1:158978189-158978369|CH12LX|EM10E0456144	chr1	158868866	158869214	chr1:158868866-unknown|158869214|CH12LX|EM10E0456058|.
1	107289	chr1	158976853	158977200	chr1:158976853-158977200|CH12LX|EM10E0456141	chr1	158869564	158869911	chr1:158869564-unknown|158869911|CH12LX|EM10E0456060|.
1	107986	chr1	158976853	158977200	chr1:158976853-158977200|CH12LX|EM10E0456141	chr1	158868866	158869214	chr1:158868866-unknown|158869214|CH12LX|EM10E0456058|.
1	108716	chr1	158978372	158978534	chr1:158978372-158978534|CH12LX|EM10E0456145	chr1	158869564	158869911	chr1:158869564-unknown|158869911|CH12LX|EM10E0456060|.
1	109413	chr1	158978372	158978534	chr1:158978372-158978534|CH12LX|EM10E0456145	chr1	158868866	158869214	chr1:158868866-unknown|158869214|CH12LX|EM10E0456058|.
1	471767	chr1	186084623	186084953	chr1:186084623-186084953|CH12LX|EM10E0463206	chr1	186556387	186556723	chr1:186556387-unknown|186556723|CH12LX|EM10E0463333|.
1	471283	chr1	186085102	186085443	chr1:186085102-186085443|CH12LX|EM10E0463207	chr1	186556387	186556723	chr1:186556387-unknown|186556723|CH12LX|EM10E0463333|.
1	472616	chr1	186083768	186084111	chr1:186083768-186084111|CH12LX|EM10E0463205	chr1	186556387	186556723	chr1:186556387-unknown|186556723|CH12LX|EM10E0463333|.
1	175278	chr10	30347469	30347819	chr10:30347469-30347819|CH12LX|EM10E0471096	chr10	30522836	30523009	chr10:30522836-unknown|30523009|CH12LX|EM10E0471160|.
1	175688	chr10	30347469	30347819	chr10:30347469-30347819|CH12LX|EM10E0471096	chr10	30523222	30523443	chr10:30523222-unknown|30523443|CH12LX|EM10E0471162|.
1	175461	chr10	30347469	30347819	chr10:30347469-30347819|CH12LX|EM10E0471096	chr10	30523013	30523198	chr10:30523013-unknown|30523198|CH12LX|EM10E0471161|.
