1	93842.0	chr4	84551045	84551768	chr4:84551045-84551768|K562|.	chr4	84457564	84457565	chr4:84457564-84457565|K562|ENST00000509044|GPAT3|TPM=9.156785|.
1	96632.0	chr10	4908871	4909146	chr10:4908871-4909146|K562|.	chr10	5005641	5005642	chr10:5005641-5005642|K562|ENST00000476100|AKR1C1|TPM=59.75275|.
1	56962.0	chr10	5062425	5062782	chr10:5062425-5062782|K562|.	chr10	5005641	5005642	chr10:5005641-5005642|K562|ENST00000476100|AKR1C1|TPM=59.75275|.
1	76210.0	chr10	4983650	4984221	chr10:4983650-4984221|K562|.	chr10	5060146	5060147	chr10:5060146-5060147|K562|ENST00000604428|AKR1C2|TPM=19.2471|.
1	85714.0	chrX	55143062	55143359	chrX:55143062-55143359|K562|.	chrX	55057496	55057497	chrX:55057496-55057497|K562|ENST00000330807|ALAS2|TPM=13.80865|.
1	56809.0	chr13	111609613	111610176	chr13:111609613-111610176|K562|.	chr13	111553085	111553086	chr13:111553085-111553086|K562|ENST00000267339|ANKRD10|TPM=78.638|.
1	162644.0	chr4	81048619	81048756	chr4:81048619-81048756|K562|.	chr4	80886043	80886044	chr4:80886043-80886044|K562|ENST00000506286|ANTXR2|TPM=15.0548|.
1	178620.0	chr4	81064453	81064873	chr4:81064453-81064873|K562|.	chr4	80886043	80886044	chr4:80886043-80886044|K562|ENST00000506286|ANTXR2|TPM=15.0548|.
1	214961.0	chr4	81100680	81101328	chr4:81100680-81101328|K562|.	chr4	80886043	80886044	chr4:80886043-80886044|K562|ENST00000506286|ANTXR2|TPM=15.0548|.
1	971551.0	chr11	33966182	33966805	chr11:33966182-33966805|K562|.	chr11	34938045	34938046	chr11:34938045-34938046|K562|ENST00000395787|APIP|TPM=38.90905|.
1	62842.0	chr11	129876786	129877132	chr11:129876786-129877132|K562|.	chr11	129939801	129939802	chr11:129939801-129939802|K562|ENST00000525604|APLP2|TPM=26.605|.
1	845464.0	chr16	11325231	11325527	chr16:11325231-11325527|K562|.	chr16	10479915	10479916	chr16:10479915-10479916|K562|ENST00000565450|ATF7IP2|TPM=86.54565|.
